lr-Adam,step,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
4.449460557856837e-06,49,,,,,
,49,0.039840396493673325,0,,,
5.825895665992239e-06,99,,,,,
,99,0.04772753641009331,0,,,
8.102654456762233e-06,149,,,,,
,149,0.04210279509425163,0,,,
1.1235343651974576e-05,199,,,,,
,199,0.03678174316883087,0,,,
1.5162880653201799e-05,249,,,,,
,249,0.04180702939629555,0,,,
1.98086845580608e-05,299,,,,,
,299,0.038618795573711395,0,,,
2.508216936947057e-05,349,,,,,
,349,0.039458341896533966,0,,,
3.0880510282614465e-05,399,,,,,
,399,0.036072079092264175,0,,,
3.709064860974123e-05,449,,,,,
,449,0.03990114852786064,0,,,
4.359149624986888e-05,499,,,,,
,499,0.03778427094221115,0,,,
5.0256296719638966e-05,549,,,,,
,549,0.03321875259280205,0,,,
5.695509670886785e-05,599,,,,,
,599,0.03535075485706329,0,,,
6.355727996928119e-05,649,,,,,
,649,0.03458155319094658,0,,,
6.99341141295168e-05,699,,,,,
,699,0.03205080330371857,0,,,
7.596126077743864e-05,749,,,,,
,749,0.027135252952575684,0,,,
8.1521199867036e-05,799,,,,,
,799,0.03111174888908863,0,,,
8.650552117771943e-05,849,,,,,
,849,0.042461294680833817,0,,,
9.081703814609816e-05,899,,,,,
,899,0.042890746146440506,0,,,
9.43716828537859e-05,949,,,,,
,949,0.04139924794435501,0,,,
9.710014522190091e-05,999,,,,,
,999,0.03774865344166756,0,,,
9.894922445050085e-05,1049,,,,,
,1049,0.035160571336746216,0,,,
9.988286635197149e-05,1099,,,,,
,1099,0.04113905504345894,0,,,
9.997762170368872e-05,1149,,,,,
,1149,0.04028427228331566,0,,,
9.979871550490316e-05,1199,,,,,
,1199,0.034650929272174835,0,,,
9.944154354509118e-05,1249,,,,,
,1249,0.03928482532501221,0,,,
,0,,,0.04620688781142235,,
,1,,,0.041432786732912064,,
,2,,,0.04083758220076561,,
,3,,,0.04235337674617767,,
,4,,,0.04153290018439293,,
,5,,,0.046415217220783234,,
,6,,,0.04118421673774719,,
,7,,,0.03979587182402611,,
,8,,,0.03700072690844536,,
,9,,,0.045216452330350876,,
,10,,,0.04142961651086807,,
,11,,,0.04107458144426346,,
,12,,,0.04352695867419243,,
,13,,,0.04212075099349022,,
,14,,,0.04412337765097618,,
,15,,,0.04394379258155823,,
,16,,,0.043757371604442596,,
,17,,,0.043130382895469666,,
,18,,,0.04144582524895668,,
,19,,,0.04567381739616394,,
,20,,,0.041251637041568756,,
,21,,,0.03850560635328293,,
,22,,,0.04123268648982048,,
,23,,,0.0464450903236866,,
,24,,,0.04041626676917076,,
,25,,,0.048169005662202835,,
,26,,,0.04223988577723503,,
,27,,,0.0416099987924099,,
,28,,,0.03924606367945671,,
,29,,,0.041265472769737244,,
,30,,,0.04260753467679024,,
,31,,,0.04098042473196983,,
,32,,,0.04517994448542595,,
,33,,,0.04086143895983696,,
,34,,,0.04536242038011551,,
,35,,,0.040708739310503006,,
,36,,,0.039903346449136734,,
,37,,,0.04108036309480667,,
,38,,,0.041930925101041794,,
,39,,,0.04578735679388046,,
,40,,,0.042300231754779816,,
,41,,,0.04156613349914551,,
,42,,,0.04087023064494133,,
,43,,,0.04321976751089096,,
,44,,,0.04428928717970848,,
,45,,,0.043670665472745895,,
,46,,,0.04282141849398613,,
,47,,,0.04122447967529297,,
,48,,,0.04030856862664223,,
,49,,,0.04388374090194702,,
,50,,,0.04599986597895622,,
,51,,,0.03867882490158081,,
,52,,,0.0408768393099308,,
,53,,,0.044868603348731995,,
,54,,,0.04374580830335617,,
,55,,,0.04636448249220848,,
,56,,,0.04381626471877098,,
,57,,,0.04561888799071312,,
,58,,,0.04062655568122864,,
,59,,,0.03802243620157242,,
,60,,,0.04104192927479744,,
,61,,,0.04545220360159874,,
,62,,,0.03883305564522743,,
,63,,,0.04181802645325661,,
,64,,,0.045001253485679626,,
,65,,,0.04396836832165718,,
,66,,,0.042332973331213,,
,67,,,0.044755056500434875,,
,68,,,0.03554056957364082,,
,69,,,0.04478319361805916,,
,70,,,0.04340221360325813,,
,71,,,0.04899882897734642,,
,72,,,0.04216621443629265,,
,73,,,0.04134487733244896,,
,74,,,0.04283895716071129,,
,75,,,0.04323981702327728,,
,76,,,0.0439525842666626,,
,77,,,0.041103482246398926,,
,78,,,0.04195583984255791,,
,79,,,0.03963059186935425,,
,80,,,0.03990926593542099,,
,81,,,0.040711987763643265,,
,82,,,0.0429069958627224,,
,83,,,0.037477463483810425,,
,84,,,0.041691042482852936,,
,85,,,0.04369603469967842,,
,86,,,0.0412062332034111,,
,87,,,0.05015595629811287,,
,88,,,0.04567430913448334,,
,89,,,0.04180131107568741,,
,90,,,0.043446995317935944,,
,91,,,0.04080602526664734,,
,92,,,0.03954143822193146,,
,93,,,0.041734229773283005,,
,94,,,0.043033525347709656,,
,95,,,0.04278296232223511,,
,96,,,0.042798835784196854,,
,97,,,0.04298369213938713,,
,98,,,0.0410284660756588,,
,99,,,0.04307134076952934,,
,100,,,0.04330422356724739,,
,101,,,0.04370018467307091,,
,102,,,0.04152907058596611,,
,103,,,0.043736882507801056,,
,104,,,0.04123096168041229,,
,105,,,0.04403870180249214,,
,106,,,0.04257300868630409,,
,107,,,0.041580893099308014,,
,108,,,0.0406426340341568,,
,109,,,0.0428742878139019,,
,110,,,0.042019546031951904,,
,111,,,0.03789358213543892,,
,112,,,0.03872102499008179,,
,113,,,0.040527381002902985,,
,114,,,0.042229410260915756,,
,115,,,0.04144182801246643,,
,116,,,0.040319301187992096,,
,117,,,0.045745160430669785,,
,118,,,0.04522870481014252,,
,119,,,0.04043674096465111,,
,120,,,0.03814040496945381,,
,121,,,0.04145361855626106,,
,122,,,0.04240136966109276,,
,123,,,0.043287456035614014,,
,124,,,0.03941753879189491,,
,125,,,0.04285925626754761,,
,126,,,0.04361997917294502,,
,127,,,0.04246215149760246,,
,128,,,0.040035661309957504,,
,129,,,0.04287582263350487,,
,130,,,0.04385751113295555,,
,131,,,0.042087797075510025,,
,132,,,0.043471384793519974,,
,133,,,0.045458946377038956,,
,134,,,0.04317288473248482,,
,135,,,0.03982454910874367,,
,136,,,0.03774513676762581,,
,137,,,0.03904935345053673,,
,138,,,0.039236489683389664,,
,139,,,0.04479106888175011,,
,140,,,0.042988430708646774,,
,141,,,0.04656529054045677,,
,142,,,0.04265272244811058,,
,143,,,0.04546345770359039,,
,144,,,0.04142294451594353,,
,145,,,0.04271760210394859,,
,146,,,0.04526558890938759,,
,147,,,0.042116593569517136,,
,148,,,0.041578687727451324,,
,149,,,0.04132132604718208,,
,150,,,0.04468988627195358,,
,151,,,0.0359613262116909,,
,152,,,0.042451437562704086,,
,153,,,0.04738498106598854,,
,154,,,0.04371155425906181,,
,155,,,0.04149939492344856,,
,156,,,0.04394565895199776,,
,157,,,0.040196266025304794,,
,158,,,0.04105742275714874,,
,159,,,0.040886472910642624,,
,160,,,0.043056901544332504,,
,161,,,0.04104592278599739,,
,162,,,0.03575723618268967,,
,163,,,0.03922758251428604,,
,164,,,0.043235357850790024,,
,165,,,0.03988053277134895,,
,166,,,0.03855912387371063,,
,167,,,0.03908180817961693,,
,168,,,0.04300069436430931,,
,169,,,0.04167693853378296,,
,170,,,0.043739285320043564,,
,171,,,0.03817807510495186,,
,172,,,0.039681077003479004,,
,173,,,0.04177343472838402,,
,174,,,0.041025396436452866,,
,175,,,0.03790106624364853,,
,176,,,0.03590928390622139,,
,177,,,0.04362349584698677,,
,178,,,0.04114369675517082,,
,179,,,0.0383756160736084,,
,180,,,0.04037117213010788,,
,181,,,0.04221731051802635,,
,182,,,0.04312701150774956,,
,183,,,0.04548489674925804,,
,184,,,0.042143311351537704,,
,185,,,0.041825950145721436,,
,186,,,0.04067007824778557,,
,187,,,0.04356924444437027,,
,188,,,0.04468531534075737,,
,189,,,0.04607567563652992,,
,190,,,0.04121461883187294,,
,191,,,0.04486871883273125,,
,192,,,0.04000895842909813,,
,193,,,0.040789902210235596,,
,194,,,0.040270060300827026,,
,195,,,0.045192815363407135,,
,196,,,0.04584244266152382,,
,197,,,0.04165462404489517,,
,198,,,0.037728436291217804,,
,199,,,0.04346766695380211,,
,200,,,0.04106751084327698,,
,201,,,0.038951776921749115,,
,202,,,0.04496222361922264,,
,203,,,0.047054585069417953,,
,204,,,0.043425288051366806,,
,205,,,0.045054152607917786,,
,206,,,0.04022238403558731,,
,207,,,0.04193459078669548,,
,208,,,0.04496753215789795,,
,209,,,0.03958205133676529,,
,210,,,0.04901817813515663,,
,211,,,0.04823950678110123,,
,212,,,0.044665779918432236,,
,213,,,0.04094120115041733,,
,214,,,0.04070010408759117,,
,215,,,0.04462118074297905,,
,216,,,0.043696653097867966,,
,217,,,0.03822511434555054,,
,218,,,0.04650655388832092,,
,219,,,0.04010205715894699,,
,220,,,0.04314626753330231,,
,221,,,0.047807469964027405,,
,222,,,0.04606598988175392,,
,223,,,0.039526667445898056,,
,224,,,0.04154951125383377,,
,225,,,0.04006234556436539,,
,226,,,0.0398528091609478,,
,227,,,0.04491005092859268,,
,228,,,0.04175136983394623,,
,229,,,0.04084997624158859,,
,230,,,0.03696829453110695,,
