lr-Adam,step,train_loss_step,epoch
4.000101109520119e-06,49,,
,49,0.039914365857839584,0
4.000412733583681e-06,99,,
,99,0.04778732731938362,0
4.000934912935157e-06,149,,
,149,0.042238496243953705,0
4.001667645283952e-06,199,,
,199,0.03711427375674248,0
4.002610927415841e-06,249,,
,249,0.042491570115089417,0
4.003764755193019e-06,299,,
,299,0.03999588266015053,0
4.00512912355412e-06,349,,
,349,0.041566334664821625,0
4.006704026514172e-06,399,,
,399,0.03820562735199928,0
4.008489457164719e-06,449,,
,449,0.04309486597776413,0
4.01048540767377e-06,499,,
,499,0.04100872948765755,0
