lr-Adam,step,train_loss_step,epoch,val_loss_step,val_loss_epoch
4.449460557856837e-06,49,,,,
,49,0.03984053060412407,0,,
5.825895665992239e-06,99,,,,
,99,0.047727566212415695,0,,
,0,,,0.04472649097442627,
,1,,,0.040213167667388916,
,2,,,0.03965440392494202,
,3,,,0.041069310158491135,
,4,,,0.04029925912618637,
,5,,,0.04496387019753456,
,6,,,0.03997045382857323,
,7,,,0.03865962475538254,
,8,,,0.03600367531180382,
,9,,,0.04380100220441818,
,10,,,0.04019565507769585,
,11,,,0.03987086936831474,
,12,,,0.04218520224094391,
,13,,,0.04084905609488487,
,14,,,0.04275597631931305,
,15,,,0.0426054485142231,
,16,,,0.04241272807121277,
,17,,,0.04179928079247475,
,18,,,0.04023807868361473,
,19,,,0.044235046952962875,
,20,,,0.04004407674074173,
,21,,,0.03743254765868187,
,22,,,0.04000547155737877,
,23,,,0.04499240219593048,
,24,,,0.03925400227308273,
,25,,,0.046620678156614304,
,26,,,0.040956683456897736,
,27,,,0.040373869240283966,
,28,,,0.038132812827825546,
,29,,,0.040052253752946854,
,30,,,0.04132276028394699,
,31,,,0.03977575525641441,
,32,,,0.0437600277364254,
,33,,,0.0396469309926033,
,34,,,0.04393443837761879,
,35,,,0.039526280015707016,
,36,,,0.03875577077269554,
,37,,,0.03987894207239151,
,38,,,0.040668077766895294,
,39,,,0.044345296919345856,
,40,,,0.04102189466357231,
,41,,,0.04034408926963806,
,42,,,0.0396757610142231,
,43,,,0.04187522456049919,
,44,,,0.04290254786610603,
,45,,,0.042336929589509964,
,46,,,0.04150427132844925,
,47,,,0.040003303438425064,
,48,,,0.039133694022893906,
,49,,,0.0425385944545269,
,50,,,0.0445486344397068,
,51,,,0.037592072039842606,
,52,,,0.03967396169900894,
,53,,,0.04348081350326538,
,54,,,0.042410172522068024,
,55,,,0.04490814730525017,
,56,,,0.042472004890441895,
,57,,,0.04415830969810486,
,58,,,0.03945920988917351,
,59,,,0.036961864680051804,
,60,,,0.03982749581336975,
,61,,,0.04403521493077278,
,62,,,0.037737052887678146,
,63,,,0.040593959391117096,
,64,,,0.04359940066933632,
,65,,,0.042616188526153564,
,66,,,0.04105852171778679,
,67,,,0.04337471351027489,
,68,,,0.03460130840539932,
,69,,,0.043386127799749374,
,70,,,0.04208269342780113,
,71,,,0.04739389568567276,
,72,,,0.04088957607746124,
,73,,,0.04010933265089989,
,74,,,0.041514188051223755,
,75,,,0.041940879076719284,
,76,,,0.042578112334012985,
,77,,,0.03989594057202339,
,78,,,0.040706783533096313,
,79,,,0.03850274905562401,
,80,,,0.03876102715730667,
,81,,,0.03952338919043541,
,82,,,0.04161853715777397,
,83,,,0.03642255812883377,
,84,,,0.04045770689845085,
,85,,,0.042357753962278366,
,86,,,0.039981659501791,
,87,,,0.04851870238780975,
,88,,,0.044237371534109116,
,89,,,0.04056939110159874,
,90,,,0.042135391384363174,
,91,,,0.039609480649232864,
,92,,,0.03839334473013878,
,93,,,0.04050133749842644,
,94,,,0.041725173592567444,
,95,,,0.04147673398256302,
,96,,,0.041517358273267746,
,97,,,0.04167167469859123,
