val_loss_step,step,val_loss_epoch,epoch,lr-Adam,train_loss_step
0.09220103919506073,0,,,,
0.08866731077432632,1,,,,
0.08847609162330627,2,,,,
0.08947431296110153,3,,,,
0.08889859169721603,4,,,,
0.0924893170595169,5,,,,
0.08867523074150085,6,,,,
0.08756457269191742,7,,,,
0.08568324148654938,8,,,,
0.09152878820896149,9,,,,
0.08881406486034393,10,,,,
0.08855350315570831,11,,,,
0.09017612785100937,12,,,,
0.08923371881246567,13,,,,
0.09048483520746231,14,,,,
0.0905279740691185,15,,,,
0.0904843807220459,16,,,,
0.0900678038597107,17,,,,
0.08885534852743149,18,,,,
0.0919637382030487,19,,,,
0.08869466930627823,20,,,,
0.08661752939224243,21,,,,
0.08881006389856339,22,,,,
0.09238307923078537,23,,,,
0.08815517276525497,24,,,,
0.0935894101858139,25,,,,
0.08953411132097244,26,,,,
0.0889005959033966,27,,,,
0.08722172677516937,28,,,,
0.08866175264120102,29,,,,
0.08968132734298706,30,,,,
0.08850779384374619,31,,,,
0.09143931418657303,32,,,,
0.08821941167116165,33,,,,
0.09144815057516098,34,,,,
0.08823322504758835,35,,,,
0.08780524134635925,36,,,,
0.08859778940677643,37,,,,
0.08904676139354706,38,,,,
0.09188760817050934,39,,,,
0.08959519118070602,40,,,,
0.08917807787656784,41,,,,
0.0883336067199707,42,,,,
0.09012743085622787,43,,,,
0.09077055752277374,44,,,,
0.09034500271081924,45,,,,
0.08976475149393082,46,,,,
0.08866020292043686,47,,,,
0.08788108825683594,48,,,,
0.09043031185865402,49,,,,
0.09199678152799606,50,,,,
0.08694886416196823,51,,,,
0.08835479617118835,52,,,,
0.09124539792537689,53,,,,
0.09049654006958008,54,,,,
0.09224657714366913,55,,,,
0.09058349579572678,56,,,,
0.0916791558265686,57,,,,
0.08830206096172333,58,,,,
0.08655119687318802,59,,,,
0.0885719284415245,60,,,,
0.09174803644418716,61,,,,
0.08696448057889938,62,,,,
0.08918217569589615,63,,,,
0.09121329337358475,64,,,,
0.09051008522510529,65,,,,
0.08939554542303085,66,,,,
