lr-Adam,step,train_loss_step,epoch
4.449460557856837e-06,49,,
,49,0.03983300179243088,0
5.825895665992239e-06,99,,
,99,0.04772855341434479,0
8.102654456762233e-06,149,,
,149,0.042104464024305344,0
1.1235343651974576e-05,199,,
,199,0.036779917776584625,0
1.5162880653201799e-05,249,,
,249,0.041806016117334366,0
1.98086845580608e-05,299,,
,299,0.038654625415802,0
